house_id,city,months_listed,bedrooms,house_type,area,price
1628410,3,5.6,5,0,487.0,406040.98
1613699,3,3.8,2,1,114.8,63443.6
1600040,2,4.7,3,0,223.6,160890.91
1244290,2,3.5,6,0,583.6,412218.66
1554191,2,7.1,5,0,405.4,288311.27
1472329,0,10.3,6,0,542.3,323699.32
1050498,0,5.9,3,1,204.9,85954.74
1034991,0,4.1,4,0,362.7,216301.66
1029323,0,8.0,2,1,158.4,70233.17
1224300,2,7.6,6,0,539.5,399050.6
1644542,2,3.8,3,1,232.9,121801.13
1745244,3,6.7,5,0,417.0,334315.55
1493567,2,6.7,3,0,291.2,205700.24
1594882,2,8.5,5,0,445.4,309142.3
1655085,0,5.8,6,0,522.3,328285.88
1670541,3,10.7,4,0,328.7,265239.7
1054223,2,5.7,4,0,397.4,288223.01
1074177,3,7.0,6,0,567.3,445692.39
1187739,2,9.6,3,0,275.8,203404.37
1630028,0,7.1,5,0,499.8,286459.7
1025051,1,2.8,4,0,373.4,190324.68
1363143,0,6.5,6,0,556.8,328847.6
1880616,0,4.8,5,0,451.7,271179.05
1371184,3,6.1,3,0,262.3,201836.96
1422468,0,6.7,4,0,331.3,204365.57
1682343,3,5.9,4,0,309.2,244897.45
1468993,1,7.2,3,0,230.6,125813.37
1335369,3,5.7,3,0,253.2,198077.28
1223033,3,2.4,4,0,367.1,285634.41
1618848,1,8.1,4,0,364.7,188980.31
1200250,2,5.3,5,0,448.3,328942.51
1546960,3,7.9,5,0,479.0,388159.08
1789534,0,7.2,2,1,107.3,47357.67
1654193,2,5.0,3,1,220.3,119196.32
1774861,2,6.8,3,1,219.9,120654.35
1294123,2,4.0,2,2,175.1,64546.48
1132389,0,2.0,6,0,557.9,344410.71
1023244,3,6.1,6,0,504.2,381468.52
1556979,1,7.9,5,0,482.1,241643.85
1345607,2,9.1,2,2,195.1,70875.82
1543125,2,4.8,5,0,489.7,349774.32
1785813,0,2.5,3,0,293.4,177190.55
1232810,3,3.5,6,0,535.9,417161.27
1055500,1,7.3,5,0,481.4,241873.9
1904524,3,4.4,5,0,450.2,352230.2
1313543,0,10.8,2,2,184.3,52513.53
1896398,3,9.5,2,1,159.1,95060.27
1061170,1,0.8,6,0,502.3,248272.63
1605340,0,7.1,6,0,505.7,296167.97
1873279,1,8.0,4,0,316.9,172856.48
1980931,0,3.6,3,0,278.9,161946.39
1947837,2,7.5,4,0,381.8,268327.93
1523163,2,8.4,5,0,492.7,361549.45
1168025,2,7.6,5,0,400.1,289469.82
1255889,0,7.0,5,0,496.5,285484.11
1902558,2,10.7,4,0,340.0,228930.59
1405049,2,6.6,5,0,456.4,324052.64
1851237,1,5.5,5,0,461.2,243717.57
1901086,2,6.0,4,0,399.7,276344.96
1610017,0,8.8,2,1,191.5,86306.88
1015072,3,8.8,5,0,470.0,381645.83
1299339,2,6.7,6,0,568.2,400191.14
1023245,3,4.4,2,1,190.7,107637.86
1394532,3,1.5,4,0,316.1,244191.01
1415271,2,2.7,6,0,596.9,421282.22
1149435,2,4.2,5,0,464.9,341161.58
1419562,2,9.0,4,0,387.6,276391.64
1371166,0,4.7,5,0,487.2,284150.13
1867596,2,5.6,4,0,372.5,256654.27
1536578,0,6.7,3,0,286.7,166552.06
1191722,2,6.5,3,0,300.0,203539.66
1867660,3,4.3,6,0,585.1,464729.35
1352525,2,7.8,6,0,503.0,367834.66
1471588,0,8.0,6,0,513.9,321945.7
1169020,1,5.1,4,0,362.9,191793.73
1829980,1,9.7,5,0,460.1,242081.44
1336456,0,4.7,6,0,511.0,310172.4
1551547,2,2.5,4,0,300.2,213505.02
1084525,1,3.5,2,1,142.6,52725.68
1802024,3,1.7,3,0,273.8,216294.49
1208690,3,6.9,2,1,148.7,86755.87
1831765,0,3.8,2,1,180.7,77697.09
1041337,0,7.7,2,1,121.0,48463.01
1742399,2,5.3,3,0,262.8,177083.06
1311228,2,5.3,5,0,446.1,318701.18
1211440,2,5.4,4,0,389.8,267009.61
1928685,3,4.2,6,0,539.1,416885.94
1438401,2,6.2,4,0,313.6,213805.33
1578620,1,6.5,3,2,236.1,65334.16
1286919,0,5.6,2,1,140.9,64019.72
1621362,2,5.4,4,0,318.6,220747.88
1891818,0,6.4,5,0,418.8,243817.82
1224082,3,8.6,4,0,325.7,264849.93
1441305,2,4.2,6,0,565.4,400083.28
1785728,0,7.2,5,0,420.0,242420.18
1188771,0,7.3,3,1,226.9,90593.64
1744066,0,5.4,3,0,254.6,149365.13
1932778,2,3.3,4,0,358.6,262431.06
1998416,0,3.5,6,0,536.7,298048.16
1646039,3,5.1,5,0,421.3,336773.83
1856969,3,5.6,6,0,524.6,424830.15
1809964,0,7.8,3,0,233.9,134170.25
1378201,0,8.6,5,0,463.8,274818.03
1492069,3,8.2,5,0,490.5,403882.71
1964568,3,8.7,5,0,427.5,348009.43
1847152,2,8.5,3,0,262.6,179018.14
1041205,1,4.2,3,0,283.8,140253.93
1088529,2,2.4,2,1,181.2,93355.51
1264482,2,6.7,5,0,479.0,338795.32
1630628,2,7.1,6,0,598.5,421508.16
1802916,3,4.1,3,0,246.5,198452.37
1333975,1,2.0,2,2,146.2,39653.79
1356040,2,4.0,4,0,347.5,249692.89
1612540,2,6.2,2,2,155.1,54555.56
1483627,2,4.1,5,0,466.1,340865.23
1173197,0,5.9,4,0,332.3,208158.25
1724010,2,4.1,2,2,191.4,71943.68
1255615,2,7.3,3,0,255.8,179094.56
1345844,0,4.3,6,0,537.7,315106.04
1894745,2,3.5,4,0,375.8,261879.28
1897945,2,2.5,4,0,343.8,246542.09
1798569,1,6.2,3,0,246.1,127346.28
1321395,0,4.8,3,0,249.6,142225.11
1966278,2,8.2,2,2,150.1,50272.99
1573934,2,4.6,5,0,483.9,348814.34
1370939,0,2.8,6,0,547.6,337704.82
1715730,1,2.4,2,2,127.3,35004.18
1434414,0,10.3,2,1,195.4,87596.16
1311541,2,5.5,3,0,284.9,201064.25
1808149,1,5.7,2,2,182.3,49092.79
1519036,2,6.4,5,0,465.4,335776.78
1126650,0,6.5,2,1,128.3,52442.01
1346856,2,7.6,6,0,596.7,418194.67
1178752,2,9.0,3,1,201.0,104201.28
1955444,1,6.0,3,0,266.2,135447.97
1946823,2,8.1,4,0,386.2,273978.3
1956249,1,1.5,6,0,586.5,307953.31
1361116,3,6.0,5,0,489.6,385870.13
1953547,1,5.0,3,0,286.7,138257.99
1387353,2,3.8,2,1,102.6,53623.19
1444191,2,3.8,6,0,587.8,418645.31
1681415,1,4.4,4,0,386.7,190197.45
1785835,2,8.6,6,0,544.2,394261.69
1341484,2,7.9,2,1,154.2,81947.76
1219378,3,5.2,6,0,551.0,445169.42
1713767,0,5.5,2,1,137.7,61601.86
1020316,3,5.3,2,1,177.0,101832.4
1699778,2,4.9,4,0,354.3,258736.94
1376556,0,3.1,3,1,201.8,86835.54
1928980,3,5.2,6,0,558.2,461630.48
1321240,2,4.5,3,1,229.8,118962.57
1584304,1,6.8,3,0,248.6,129486.75
1964668,3,5.0,2,2,177.8,72430.82
1539402,2,6.3,6,0,577.1,408045.75
1169447,3,7.4,3,0,261.7,208570.8
1685799,3,4.2,6,0,534.3,425326.16
1946819,1,8.4,6,0,502.7,257269.99
1142073,0,4.6,6,0,581.7,352980.89
1168921,0,4.9,6,0,572.1,353082.99
1693370,1,3.0,4,0,310.1,167952.95
1755830,2,5.3,3,0,246.8,169609.89
1367533,2,5.6,6,0,550.7,365251.67
1618993,3,1.0,6,0,572.0,479346.46
1915967,3,4.9,4,0,373.8,289746.53
1631130,1,3.3,5,0,439.6,227430.39
1988509,0,5.3,2,1,166.0,69047.63
1388944,3,7.2,2,1,162.7,98833.03
1771003,0,4.9,5,0,425.3,260050.84
1187863,2,6.4,4,0,362.3,257795.4
1257275,2,9.5,6,0,508.4,370438.63
1474884,2,4.6,6,0,556.3,402457.3
1696653,3,6.2,2,1,147.7,83541.23
1478107,2,7.6,4,0,313.6,217642.5
1526803,3,4.3,6,0,559.3,442843.97
1314648,2,5.8,2,2,154.2,53752.32
1638350,2,2.9,6,0,508.5,349497.62
1320114,3,7.0,2,1,124.9,67301.32
1592594,2,6.2,6,0,565.7,402250.67
1894657,3,5.3,3,1,212.8,126881.63
1576880,0,5.9,4,0,355.2,215651.47
1354547,0,6.9,4,0,307.1,183933.01
1753927,0,9.2,2,1,121.1,48502.31
1803775,2,7.4,5,0,416.3,292038.99
1301923,2,6.9,3,1,215.2,114313.26
1712718,2,7.5,3,0,240.6,172552.96
1782816,2,7.5,5,0,498.5,358035.46
1733312,2,5.1,5,0,453.5,324332.21
1762141,0,6.8,4,0,327.4,193304.82
1238711,3,7.3,4,0,346.8,280499.64
1818778,3,10.5,2,1,166.6,99549.24
1762071,0,7.0,6,0,583.5,340873.83
1187695,3,6.0,4,0,388.7,310562.38
1892672,3,6.1,3,2,206.2,80110.33
1122156,1,4.9,5,0,422.6,210983.9
1986255,2,3.5,6,0,508.9,353526.2
1896276,2,8.4,6,0,533.2,394796.28
1758223,2,9.5,4,0,367.1,260871.85
1752010,0,2.6,3,0,291.3,176186.54
1651404,3,7.8,6,0,517.0,427704.55
